Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
SUITE_ASSEMENT2,Chrome 125.0.0.0,,,14-06-2024 13:59:56,14-06-2024 14:12:24,12m - 28.052s,FAILED
,,,,,,,
Test Cases/home,Chrome 125.0.0.0,,,14-06-2024 14:02:07,14-06-2024 14:02:51,43.725s,FAILED
"openBrowser("""")",Chrome 125.0.0.0,,,14-06-2024 14:02:07,14-06-2024 14:02:10,2.309s,PASSED
"navigateToUrl(""https://naanmudhalvan.tn.gov.in/"")",Chrome 125.0.0.0,,,14-06-2024 14:02:10,14-06-2024 14:02:17,7.568s,PASSED
"click(findTestObject(""Object Repository/home/Page_Naan Mudhalvan Massive Upskilling Platform/img_X_popimg_home""))",Chrome 125.0.0.0,,,14-06-2024 14:02:17,14-06-2024 14:02:18,0.330s,PASSED
"switchToWindowTitle(""Naan Mudhalvan Massive Upskilling Platform"")",Chrome 125.0.0.0,,,14-06-2024 14:02:18,14-06-2024 14:02:18,0.434s,PASSED
"click(findTestObject(""Object Repository/home/Page_Naan Mudhalvan Massive Upskilling Platform/a_Login""))",Chrome 125.0.0.0,,,14-06-2024 14:02:18,14-06-2024 14:02:51,33.056s,FAILED
,,,,,,,
Test Cases/internships,Chrome 125.0.0.0,,,14-06-2024 14:03:42,14-06-2024 14:04:04,21.872s,FAILED
"openBrowser("""")",Chrome 125.0.0.0,,,14-06-2024 14:03:42,14-06-2024 14:03:45,2.569s,PASSED
"navigateToUrl(""https://naanmudhalvan.tn.gov.in/"")",Chrome 125.0.0.0,,,14-06-2024 14:03:45,14-06-2024 14:03:51,6.406s,PASSED
"click(findTestObject(""Object Repository/interns/Page_Naan Mudhalvan Massive Upskilling Platform/div_X""))",Chrome 125.0.0.0,,,14-06-2024 14:03:51,14-06-2024 14:03:58,6.632s,PASSED
"click(findTestObject(""Object Repository/interns/Page_Naan Mudhalvan Massive Upskilling Platform/button_X""))",Chrome 125.0.0.0,,,14-06-2024 14:03:58,14-06-2024 14:04:00,1.740s,PASSED
"click(findTestObject(""Object Repository/interns/Page_Naan Mudhalvan Massive Upskilling Platform/button_X""))",Chrome 125.0.0.0,,,14-06-2024 14:04:00,14-06-2024 14:04:02,1.972s,PASSED
"click(findTestObject(""Object Repository/interns/Page_Naan Mudhalvan Massive Upskilling Platform/a_Internships""))",Chrome 125.0.0.0,,,14-06-2024 14:04:02,14-06-2024 14:04:04,2.527s,FAILED
,,,,,,,
Test Cases/mentorsview,Chrome 125.0.0.0,,,14-06-2024 14:06:32,14-06-2024 14:07:20,48.265s,FAILED
